Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,37.169998,37.459999,36.709999,37.439999,37.439999,69900
2021-05-20,37.570000,38.209999,37.380001,37.950001,37.950001,62400
2021-05-21,38.139999,38.430000,38.029999,38.250000,38.250000,55300
2021-05-24,38.340000,38.610001,38.180000,38.250000,38.250000,56400
2021-05-25,38.230000,38.419998,37.220001,37.230000,37.230000,68800
2021-05-26,37.230000,37.700001,37.099998,37.490002,37.490002,60200
2021-05-27,37.970001,38.590000,37.930000,38.259998,38.259998,125700
2021-05-28,38.480000,38.480000,37.900002,38.360001,38.360001,44000
2021-06-01,38.599998,39.130001,38.389999,38.779999,38.779999,65500
2021-06-02,39.000000,39.000000,38.020000,38.080002,38.080002,47600
2021-06-03,37.880001,37.880001,37.360001,37.750000,37.750000,69700
2021-06-04,37.779999,38.240002,37.480000,38.040001,38.040001,71300
2021-06-07,38.040001,38.660000,38.009998,38.470001,38.470001,52000
2021-06-08,38.590000,39.020000,38.430000,38.720001,38.720001,58900
2021-06-09,39.580002,39.650002,38.580002,38.720001,38.720001,134900
2021-06-10,38.540001,38.570000,37.820000,37.820000,37.820000,84600
2021-06-11,37.810001,38.790001,37.770000,38.240002,38.240002,117600
2021-06-14,38.270000,38.689999,37.700001,37.740002,37.740002,65600
2021-06-15,37.970001,38.549999,37.740002,38.209999,38.209999,61700
2021-06-16,37.959999,38.450001,37.959999,38.119999,38.119999,90600
2021-06-17,38.099998,38.410000,37.540001,37.680000,37.680000,68300
2021-06-18,37.230000,37.250000,36.770000,37.000000,37.000000,139600
2021-06-21,37.340000,37.480000,36.910000,37.400002,37.400002,77200
2021-06-22,37.250000,37.570000,36.830002,36.889999,36.889999,110000
2021-06-23,37.009998,37.009998,36.369999,36.480000,36.480000,129000
2021-06-24,36.619999,37.410000,36.419998,37.310001,37.310001,57400
2021-06-25,37.150002,37.619999,36.799999,36.799999,36.799999,345800
2021-06-28,36.669998,36.910000,36.049999,36.869999,36.869999,114700
2021-06-29,36.840000,37.240002,36.709999,36.779999,36.779999,96500
2021-06-30,36.599998,37.369999,36.529999,36.970001,36.970001,79700
2021-07-01,37.070000,37.270000,36.500000,36.570000,36.570000,133400
2021-07-02,36.799999,36.799999,36.250000,36.619999,36.619999,65300
2021-07-06,36.750000,36.750000,35.639999,35.779999,35.779999,53700
2021-07-07,35.700001,35.830002,35.189999,35.299999,35.299999,85700
2021-07-08,34.660000,35.220001,34.169998,34.610001,34.610001,76200
2021-07-09,34.950001,35.130001,34.700001,34.830002,34.830002,43200
2021-07-12,34.720001,35.939999,34.630001,35.750000,35.750000,114500
2021-07-13,35.430000,35.720001,35.049999,35.330002,35.330002,48600
2021-07-14,35.560001,35.560001,35.070000,35.180000,35.180000,104900
2021-07-15,34.900002,35.599998,34.799999,35.240002,35.240002,82900
2021-07-16,35.529999,35.689999,34.980000,34.980000,34.980000,41000
2021-07-19,34.509998,35.139999,34.099998,35.080002,35.080002,109400
2021-07-20,35.369999,36.369999,35.169998,35.900002,35.900002,78400
2021-07-21,36.259998,36.639999,35.849998,35.950001,35.950001,87100
2021-07-22,35.840000,35.840000,35.360001,35.500000,35.500000,29600
2021-07-23,35.730000,35.939999,35.240002,35.840000,35.840000,36700
2021-07-26,36.049999,36.580002,36.049999,36.540001,36.540001,102600
2021-07-27,36.250000,36.540001,35.889999,36.500000,36.500000,46400
2021-07-28,36.919998,37.180000,35.180000,36.250000,36.250000,121900
2021-07-29,36.700001,37.860001,36.509998,37.150002,37.150002,116700
2021-07-30,36.869999,37.500000,36.830002,37.180000,37.180000,87700
2021-08-02,37.490002,37.689999,36.630001,36.730000,36.730000,63000
